title,slug,difficulty,topics
Largest Time for Given Digits,largest-time-for-given-digits,MEDIUM,"array,string,backtracking,enumeration"
Reveal Cards In Increasing Order,reveal-cards-in-increasing-order,MEDIUM,"array,queue,sorting,simulation"
Flip Equivalent Binary Trees,flip-equivalent-binary-trees,MEDIUM,"tree,depth-first-search,binary-tree"
Largest Component Size by Common Factor,largest-component-size-by-common-factor,HARD,"array,hash-table,math,union-find,number-theory"
Verifying an Alien Dictionary,verifying-an-alien-dictionary,EASY,"array,hash-table,string"
Array of Doubled Pairs,array-of-doubled-pairs,MEDIUM,"array,hash-table,greedy,sorting"
Delete Columns to Make Sorted II,delete-columns-to-make-sorted-ii,MEDIUM,"array,string,greedy"
Tallest Billboard,tallest-billboard,HARD,"array,dynamic-programming"
Prison Cells After N Days,prison-cells-after-n-days,MEDIUM,"array,hash-table,math,bit-manipulation"
Check Completeness of a Binary Tree,check-completeness-of-a-binary-tree,MEDIUM,"tree,breadth-first-search,binary-tree"
Regions Cut By Slashes,regions-cut-by-slashes,MEDIUM,"array,hash-table,depth-first-search,breadth-first-search,union-find,matrix"
Delete Columns to Make Sorted III,delete-columns-to-make-sorted-iii,HARD,"array,string,dynamic-programming"
N-Repeated Element in Size 2N Array,n-repeated-element-in-size-2n-array,EASY,"array,hash-table"
Maximum Width Ramp,maximum-width-ramp,MEDIUM,"array,two-pointers,stack,monotonic-stack"
Minimum Area Rectangle II,minimum-area-rectangle-ii,MEDIUM,"array,hash-table,math,geometry"
Least Operators to Express Number,least-operators-to-express-number,HARD,"math,dynamic-programming,memoization"
Univalued Binary Tree,univalued-binary-tree,EASY,"tree,depth-first-search,breadth-first-search,binary-tree"
Vowel Spellchecker,vowel-spellchecker,MEDIUM,"array,hash-table,string"
Numbers With Same Consecutive Differences,numbers-with-same-consecutive-differences,MEDIUM,"backtracking,breadth-first-search"
Binary Tree Cameras,binary-tree-cameras,HARD,"dynamic-programming,tree,depth-first-search,binary-tree"
Pancake Sorting,pancake-sorting,MEDIUM,"array,two-pointers,greedy,sorting"
Powerful Integers,powerful-integers,MEDIUM,"hash-table,math,enumeration"
Flip Binary Tree To Match Preorder Traversal,flip-binary-tree-to-match-preorder-traversal,MEDIUM,"tree,depth-first-search,binary-tree"
Equal Rational Numbers,equal-rational-numbers,HARD,"math,string"
K Closest Points to Origin,k-closest-points-to-origin,MEDIUM,"array,math,divide-and-conquer,geometry,sorting,heap-priority-queue,quickselect"
Subarray Sums Divisible by K,subarray-sums-divisible-by-k,MEDIUM,"array,hash-table,prefix-sum"
Odd Even Jump,odd-even-jump,HARD,"array,dynamic-programming,stack,sorting,monotonic-stack,ordered-set"
Largest Perimeter Triangle,largest-perimeter-triangle,EASY,"array,math,greedy,sorting"
Squares of a Sorted Array,squares-of-a-sorted-array,EASY,"array,two-pointers,sorting"
Longest Turbulent Subarray,longest-turbulent-subarray,MEDIUM,"array,dynamic-programming,sliding-window"
Distribute Coins in Binary Tree,distribute-coins-in-binary-tree,MEDIUM,"tree,depth-first-search,binary-tree"
Unique Paths III,unique-paths-iii,HARD,"array,backtracking,bit-manipulation,matrix"
Time Based Key-Value Store,time-based-key-value-store,MEDIUM,"hash-table,string,binary-search,design"
Triples with Bitwise AND Equal To Zero,triples-with-bitwise-and-equal-to-zero,HARD,"array,hash-table,bit-manipulation"
Minimum Cost For Tickets,minimum-cost-for-tickets,MEDIUM,"array,dynamic-programming"
String Without AAA or BBB,string-without-aaa-or-bbb,MEDIUM,"string,greedy"
Sum of Even Numbers After Queries,sum-of-even-numbers-after-queries,MEDIUM,"array,simulation"
Interval List Intersections,interval-list-intersections,MEDIUM,"array,two-pointers,line-sweep"
Vertical Order Traversal of a Binary Tree,vertical-order-traversal-of-a-binary-tree,HARD,"hash-table,tree,depth-first-search,breadth-first-search,sorting,binary-tree"
Smallest String Starting From Leaf,smallest-string-starting-from-leaf,MEDIUM,"string,backtracking,tree,depth-first-search,binary-tree"
Add to Array-Form of Integer,add-to-array-form-of-integer,EASY,"array,math"
Satisfiability of Equality Equations,satisfiability-of-equality-equations,MEDIUM,"array,string,union-find,graph"
Broken Calculator,broken-calculator,MEDIUM,"math,greedy"
Subarrays with K Different Integers,subarrays-with-k-different-integers,HARD,"array,hash-table,sliding-window,counting"
Cousins in Binary Tree,cousins-in-binary-tree,EASY,"tree,depth-first-search,breadth-first-search,binary-tree"
Rotting Oranges,rotting-oranges,MEDIUM,"array,breadth-first-search,matrix"
Minimum Number of K Consecutive Bit Flips,minimum-number-of-k-consecutive-bit-flips,HARD,"array,bit-manipulation,queue,sliding-window,prefix-sum"
Number of Squareful Arrays,number-of-squareful-arrays,HARD,"array,hash-table,math,dynamic-programming,backtracking,bit-manipulation,bitmask"
Find the Town Judge,find-the-town-judge,EASY,"array,hash-table,graph"
Maximum Binary Tree II,maximum-binary-tree-ii,MEDIUM,"tree,binary-tree"
Available Captures for Rook,available-captures-for-rook,EASY,"array,matrix,simulation"
Minimum Cost to Merge Stones,minimum-cost-to-merge-stones,HARD,"array,dynamic-programming,prefix-sum"
Grid Illumination,grid-illumination,HARD,"array,hash-table"
Find Common Characters,find-common-characters,EASY,"array,hash-table,string"
Check If Word Is Valid After Substitutions,check-if-word-is-valid-after-substitutions,MEDIUM,"string,stack"
Max Consecutive Ones III,max-consecutive-ones-iii,MEDIUM,"array,binary-search,sliding-window,prefix-sum"
Maximize Sum Of Array After K Negations,maximize-sum-of-array-after-k-negations,EASY,"array,greedy,sorting"
Clumsy Factorial,clumsy-factorial,MEDIUM,"math,stack,simulation"
Minimum Domino Rotations For Equal Row,minimum-domino-rotations-for-equal-row,MEDIUM,"array,greedy"
Construct Binary Search Tree from Preorder Traversal,construct-binary-search-tree-from-preorder-traversal,MEDIUM,"array,stack,tree,binary-search-tree,monotonic-stack,binary-tree"
Complement of Base 10 Integer,complement-of-base-10-integer,EASY,bit-manipulation
Pairs of Songs With Total Durations Divisible by 60,pairs-of-songs-with-total-durations-divisible-by-60,MEDIUM,"array,hash-table,counting"
Capacity To Ship Packages Within D Days,capacity-to-ship-packages-within-d-days,MEDIUM,"array,binary-search"
Numbers With Repeated Digits,numbers-with-repeated-digits,HARD,"math,dynamic-programming"
Partition Array Into Three Parts With Equal Sum,partition-array-into-three-parts-with-equal-sum,EASY,"array,greedy"
Best Sightseeing Pair,best-sightseeing-pair,MEDIUM,"array,dynamic-programming"
Smallest Integer Divisible by K,smallest-integer-divisible-by-k,MEDIUM,"hash-table,math"
Binary String With Substrings Representing 1 To N,binary-string-with-substrings-representing-1-to-n,MEDIUM,"hash-table,string,bit-manipulation,sliding-window"
Convert to Base -2,convert-to-base-2,MEDIUM,math
Binary Prefix Divisible By 5,binary-prefix-divisible-by-5,EASY,"array,bit-manipulation"
Next Greater Node In Linked List,next-greater-node-in-linked-list,MEDIUM,"array,linked-list,stack,monotonic-stack"
Number of Enclaves,number-of-enclaves,MEDIUM,"array,depth-first-search,breadth-first-search,union-find,matrix"
Remove Outermost Parentheses,remove-outermost-parentheses,EASY,"string,stack"
Sum of Root To Leaf Binary Numbers,sum-of-root-to-leaf-binary-numbers,EASY,"tree,depth-first-search,binary-tree"
Camelcase Matching,camelcase-matching,MEDIUM,"array,two-pointers,string,trie,string-matching"
Video Stitching,video-stitching,MEDIUM,"array,dynamic-programming,greedy"
Divisor Game,divisor-game,EASY,"math,dynamic-programming,brainteaser,game-theory"
Maximum Difference Between Node and Ancestor,maximum-difference-between-node-and-ancestor,MEDIUM,"tree,depth-first-search,binary-tree"
Longest Arithmetic Subsequence,longest-arithmetic-subsequence,MEDIUM,"array,hash-table,binary-search,dynamic-programming"
Recover a Tree From Preorder Traversal,recover-a-tree-from-preorder-traversal,HARD,"string,tree,depth-first-search,binary-tree"
Two City Scheduling,two-city-scheduling,MEDIUM,"array,greedy,sorting"
Matrix Cells in Distance Order,matrix-cells-in-distance-order,EASY,"array,math,geometry,sorting,matrix"
Maximum Sum of Two Non-Overlapping Subarrays,maximum-sum-of-two-non-overlapping-subarrays,MEDIUM,"array,dynamic-programming,sliding-window"
Stream of Characters,stream-of-characters,HARD,"array,string,design,trie,data-stream"
Moving Stones Until Consecutive,moving-stones-until-consecutive,MEDIUM,"math,brainteaser"
Coloring A Border,coloring-a-border,MEDIUM,"array,depth-first-search,breadth-first-search,matrix"
Uncrossed Lines,uncrossed-lines,MEDIUM,"array,dynamic-programming"
Escape a Large Maze,escape-a-large-maze,HARD,"array,hash-table,depth-first-search,breadth-first-search"
Valid Boomerang,valid-boomerang,EASY,"array,math,geometry"
Binary Search Tree to Greater Sum Tree,binary-search-tree-to-greater-sum-tree,MEDIUM,"tree,depth-first-search,binary-search-tree,binary-tree"
Minimum Score Triangulation of Polygon,minimum-score-triangulation-of-polygon,MEDIUM,"array,dynamic-programming"
Moving Stones Until Consecutive II,moving-stones-until-consecutive-ii,MEDIUM,"array,math,sliding-window,sorting"
Robot Bounded In Circle,robot-bounded-in-circle,MEDIUM,"math,string,simulation"
Flower Planting With No Adjacent,flower-planting-with-no-adjacent,MEDIUM,"depth-first-search,breadth-first-search,graph"
Partition Array for Maximum Sum,partition-array-for-maximum-sum,MEDIUM,"array,dynamic-programming"
Longest Duplicate Substring,longest-duplicate-substring,HARD,"string,binary-search,sliding-window,rolling-hash,suffix-array,hash-function"
Customers Who Bought All Products,customers-who-bought-all-products,MEDIUM,database
Last Stone Weight,last-stone-weight,EASY,"array,heap-priority-queue"
Remove All Adjacent Duplicates In String,remove-all-adjacent-duplicates-in-string,EASY,"string,stack"
Longest String Chain,longest-string-chain,MEDIUM,"array,hash-table,two-pointers,string,dynamic-programming,sorting"
Last Stone Weight II,last-stone-weight-ii,MEDIUM,"array,dynamic-programming"
Actors and Directors Who Cooperated At Least Three Times,actors-and-directors-who-cooperated-at-least-three-times,EASY,database
Height Checker,height-checker,EASY,"array,sorting,counting-sort"
Grumpy Bookstore Owner,grumpy-bookstore-owner,MEDIUM,"array,sliding-window"
Previous Permutation With One Swap,previous-permutation-with-one-swap,MEDIUM,"array,greedy"
Distant Barcodes,distant-barcodes,MEDIUM,"array,hash-table,greedy,sorting,heap-priority-queue,counting"
Shortest Way to Form String,shortest-way-to-form-string,MEDIUM,"two-pointers,string,binary-search,greedy"
Confusing Number,confusing-number,EASY,math
Campus Bikes,campus-bikes,MEDIUM,"array,sorting,heap-priority-queue"
Minimize Rounding Error to Meet Target,minimize-rounding-error-to-meet-target,MEDIUM,"array,math,string,greedy,sorting"
All Paths from Source Lead to Destination,all-paths-from-source-lead-to-destination,MEDIUM,"graph,topological-sort"
Missing Element in Sorted Array,missing-element-in-sorted-array,MEDIUM,"array,binary-search"
Lexicographically Smallest Equivalent String,lexicographically-smallest-equivalent-string,MEDIUM,"string,union-find"
Longest Repeating Substring,longest-repeating-substring,MEDIUM,"string,binary-search,dynamic-programming,rolling-hash,suffix-array,hash-function"
Number of Valid Subarrays,number-of-valid-subarrays,HARD,"array,stack,monotonic-stack"
Fixed Point,fixed-point,EASY,"array,binary-search"
Index Pairs of a String,index-pairs-of-a-string,EASY,"array,string,trie,sorting"
Campus Bikes II,campus-bikes-ii,MEDIUM,"array,dynamic-programming,backtracking,bit-manipulation,bitmask"
Digit Count in Range,digit-count-in-range,HARD,"math,dynamic-programming"
Product Sales Analysis I,product-sales-analysis-i,EASY,database
Product Sales Analysis II,product-sales-analysis-ii,EASY,database
Product Sales Analysis III,product-sales-analysis-iii,MEDIUM,database
Greatest Common Divisor of Strings,greatest-common-divisor-of-strings,EASY,"math,string"
Flip Columns For Maximum Number of Equal Rows,flip-columns-for-maximum-number-of-equal-rows,MEDIUM,"array,hash-table,matrix"
Adding Two Negabinary Numbers,adding-two-negabinary-numbers,MEDIUM,"array,math"
Number of Submatrices That Sum to Target,number-of-submatrices-that-sum-to-target,HARD,"array,hash-table,matrix,prefix-sum"
Project Employees I,project-employees-i,EASY,database
Project Employees II,project-employees-ii,EASY,database
Project Employees III,project-employees-iii,MEDIUM,database
Occurrences After Bigram,occurrences-after-bigram,EASY,string
Letter Tile Possibilities,letter-tile-possibilities,MEDIUM,"hash-table,string,backtracking,counting"
Insufficient Nodes in Root to Leaf Paths,insufficient-nodes-in-root-to-leaf-paths,MEDIUM,"tree,depth-first-search,binary-tree"
Smallest Subsequence of Distinct Characters,smallest-subsequence-of-distinct-characters,MEDIUM,"string,stack,greedy,monotonic-stack"
Sales Analysis I,sales-analysis-i,EASY,database
Sales Analysis II,sales-analysis-ii,EASY,database
Sales Analysis III,sales-analysis-iii,EASY,database
Sum of Digits in the Minimum Number,sum-of-digits-in-the-minimum-number,EASY,"array,math"
High Five,high-five,EASY,"array,hash-table,sorting,heap-priority-queue"
Brace Expansion,brace-expansion,MEDIUM,"string,backtracking,stack,breadth-first-search,sorting"
Confusing Number II,confusing-number-ii,HARD,"math,backtracking"
Duplicate Zeros,duplicate-zeros,EASY,"array,two-pointers"
Largest Values From Labels,largest-values-from-labels,MEDIUM,"array,hash-table,greedy,sorting,counting"
Shortest Path in Binary Matrix,shortest-path-in-binary-matrix,MEDIUM,"array,breadth-first-search,matrix"
Shortest Common Supersequence ,shortest-common-supersequence,HARD,"string,dynamic-programming"
Statistics from a Large Sample,statistics-from-a-large-sample,MEDIUM,"array,math,probability-and-statistics"
Car Pooling,car-pooling,MEDIUM,"array,sorting,heap-priority-queue,simulation,prefix-sum"
Find in Mountain Array,find-in-mountain-array,HARD,"array,binary-search,interactive"
Brace Expansion II,brace-expansion-ii,HARD,"hash-table,string,backtracking,stack,breadth-first-search,sorting"
Game Play Analysis V,game-play-analysis-v,HARD,database
Unpopular Books,unpopular-books,MEDIUM,database
Two Sum Less Than K,two-sum-less-than-k,EASY,"array,two-pointers,binary-search,sorting"
Find K-Length Substrings With No Repeated Characters,find-k-length-substrings-with-no-repeated-characters,MEDIUM,"hash-table,string,sliding-window"
The Earliest Moment When Everyone Become Friends,the-earliest-moment-when-everyone-become-friends,MEDIUM,"array,union-find,sorting"
Path With Maximum Minimum Value,path-with-maximum-minimum-value,MEDIUM,"array,binary-search,depth-first-search,breadth-first-search,union-find,heap-priority-queue,matrix"
Distribute Candies to People,distribute-candies-to-people,EASY,"math,simulation"
Path In Zigzag Labelled Binary Tree,path-in-zigzag-labelled-binary-tree,MEDIUM,"math,tree,binary-tree"
Filling Bookcase Shelves,filling-bookcase-shelves,MEDIUM,"array,dynamic-programming"
Parsing A Boolean Expression,parsing-a-boolean-expression,HARD,"string,stack,recursion"
New Users Daily Count,new-users-daily-count,MEDIUM,database
Defanging an IP Address,defanging-an-ip-address,EASY,string
Corporate Flight Bookings,corporate-flight-bookings,MEDIUM,"array,prefix-sum"
Delete Nodes And Return Forest,delete-nodes-and-return-forest,MEDIUM,"array,hash-table,tree,depth-first-search,binary-tree"
Maximum Nesting Depth of Two Valid Parentheses Strings,maximum-nesting-depth-of-two-valid-parentheses-strings,MEDIUM,"string,stack"
Highest Grade For Each Student,highest-grade-for-each-student,MEDIUM,database
Reported Posts,reported-posts,EASY,database
Print in Order,print-in-order,EASY,concurrency
Print FooBar Alternately,print-foobar-alternately,MEDIUM,concurrency
Print Zero Even Odd,print-zero-even-odd,MEDIUM,concurrency
Building H2O,building-h2o,MEDIUM,concurrency
Number of Days in a Month,number-of-days-in-a-month,EASY,math
Remove Vowels from a String,remove-vowels-from-a-string,EASY,string
Maximum Average Subtree,maximum-average-subtree,MEDIUM,"tree,depth-first-search,binary-tree"
Divide Array Into Increasing Sequences,divide-array-into-increasing-sequences,HARD,"array,counting"
Relative Sort Array,relative-sort-array,EASY,"array,hash-table,sorting,counting-sort"
Lowest Common Ancestor of Deepest Leaves,lowest-common-ancestor-of-deepest-leaves,MEDIUM,"hash-table,tree,depth-first-search,breadth-first-search,binary-tree"
Longest Well-Performing Interval,longest-well-performing-interval,MEDIUM,"array,hash-table,stack,monotonic-stack,prefix-sum"
Smallest Sufficient Team,smallest-sufficient-team,HARD,"array,dynamic-programming,bit-manipulation,bitmask"
Active Businesses,active-businesses,MEDIUM,database
User Purchase Platform,user-purchase-platform,HARD,database
Number of Equivalent Domino Pairs,number-of-equivalent-domino-pairs,EASY,"array,hash-table,counting"
Shortest Path with Alternating Colors,shortest-path-with-alternating-colors,MEDIUM,"breadth-first-search,graph"
Minimum Cost Tree From Leaf Values,minimum-cost-tree-from-leaf-values,MEDIUM,"array,dynamic-programming,stack,greedy,monotonic-stack"
Maximum of Absolute Value Expression,maximum-of-absolute-value-expression,MEDIUM,"array,math"
Reported Posts II,reported-posts-ii,MEDIUM,database
Largest Unique Number,largest-unique-number,EASY,"array,hash-table,sorting"
Armstrong Number,armstrong-number,EASY,math
Connecting Cities With Minimum Cost,connecting-cities-with-minimum-cost,MEDIUM,"union-find,graph,heap-priority-queue,minimum-spanning-tree"
Parallel Courses,parallel-courses,MEDIUM,"graph,topological-sort"
N-th Tribonacci Number,n-th-tribonacci-number,EASY,"math,dynamic-programming,memoization"
Alphabet Board Path,alphabet-board-path,MEDIUM,"hash-table,string"
Largest 1-Bordered Square,largest-1-bordered-square,MEDIUM,"array,dynamic-programming,matrix"
Stone Game II,stone-game-ii,MEDIUM,"array,math,dynamic-programming,prefix-sum,game-theory"
User Activity for the Past 30 Days I,user-activity-for-the-past-30-days-i,EASY,database
User Activity for the Past 30 Days II,user-activity-for-the-past-30-days-ii,EASY,database
Longest Common Subsequence,longest-common-subsequence,MEDIUM,"string,dynamic-programming"
Decrease Elements To Make Array Zigzag,decrease-elements-to-make-array-zigzag,MEDIUM,"array,greedy"
Binary Tree Coloring Game,binary-tree-coloring-game,MEDIUM,"tree,depth-first-search,binary-tree"
Snapshot Array,snapshot-array,MEDIUM,"array,hash-table,binary-search,design"
Longest Chunked Palindrome Decomposition,longest-chunked-palindrome-decomposition,HARD,"two-pointers,string,dynamic-programming,greedy,rolling-hash,hash-function"
Article Views I,article-views-i,EASY,database
Article Views II,article-views-ii,MEDIUM,database
Check If a Number Is Majority Element in a Sorted Array,check-if-a-number-is-majority-element-in-a-sorted-array,EASY,"array,binary-search"
Minimum Swaps to Group All 1's Together,minimum-swaps-to-group-all-1s-together,MEDIUM,"array,sliding-window"
Analyze User Website Visit Pattern,analyze-user-website-visit-pattern,MEDIUM,"array,hash-table,string,sorting"
String Transforms Into Another String,string-transforms-into-another-string,HARD,"hash-table,string,graph"
Day of the Year,day-of-the-year,EASY,"math,string"
Number of Dice Rolls With Target Sum,number-of-dice-rolls-with-target-sum,MEDIUM,dynamic-programming
Swap For Longest Repeated Character Substring,swap-for-longest-repeated-character-substring,MEDIUM,"hash-table,string,sliding-window"
Online Majority Element In Subarray,online-majority-element-in-subarray,HARD,"array,binary-search,design,binary-indexed-tree,segment-tree"
Market Analysis I,market-analysis-i,MEDIUM,database
Market Analysis II,market-analysis-ii,HARD,database
Find Words That Can Be Formed by Characters,find-words-that-can-be-formed-by-characters,EASY,"array,hash-table,string,counting"
Maximum Level Sum of a Binary Tree,maximum-level-sum-of-a-binary-tree,MEDIUM,"tree,depth-first-search,breadth-first-search,binary-tree"
As Far from Land as Possible,as-far-from-land-as-possible,MEDIUM,"array,dynamic-programming,breadth-first-search,matrix"
Last Substring in Lexicographical Order,last-substring-in-lexicographical-order,HARD,"two-pointers,string"
Product Price at a Given Date,product-price-at-a-given-date,MEDIUM,database
Single-Row Keyboard,single-row-keyboard,EASY,"hash-table,string"
Design File System,design-file-system,MEDIUM,"hash-table,string,design,trie"
Minimum Cost to Connect Sticks,minimum-cost-to-connect-sticks,MEDIUM,"array,greedy,heap-priority-queue"
Optimize Water Distribution in a Village,optimize-water-distribution-in-a-village,HARD,"union-find,graph,heap-priority-queue,minimum-spanning-tree"
Invalid Transactions,invalid-transactions,MEDIUM,"array,hash-table,string,sorting"
Compare Strings by Frequency of the Smallest Character,compare-strings-by-frequency-of-the-smallest-character,MEDIUM,"array,hash-table,string,binary-search,sorting"
Remove Zero Sum Consecutive Nodes from Linked List,remove-zero-sum-consecutive-nodes-from-linked-list,MEDIUM,"hash-table,linked-list"
Dinner Plate Stacks,dinner-plate-stacks,HARD,"hash-table,stack,design,heap-priority-queue"
Immediate Food Delivery I,immediate-food-delivery-i,EASY,database
Immediate Food Delivery II,immediate-food-delivery-ii,MEDIUM,database
Prime Arrangements,prime-arrangements,EASY,math
Diet Plan Performance,diet-plan-performance,EASY,"array,sliding-window"
Can Make Palindrome from Substring,can-make-palindrome-from-substring,MEDIUM,"array,hash-table,string,bit-manipulation,prefix-sum"
Number of Valid Words for Each Puzzle,number-of-valid-words-for-each-puzzle,HARD,"array,hash-table,string,bit-manipulation,trie"
Reformat Department Table,reformat-department-table,EASY,database
Count Substrings with Only One Distinct Letter,count-substrings-with-only-one-distinct-letter,EASY,"math,string"
Before and After Puzzle,before-and-after-puzzle,MEDIUM,"array,hash-table,string,sorting"
Shortest Distance to Target Color,shortest-distance-to-target-color,MEDIUM,"array,binary-search,dynamic-programming"
Maximum Number of Ones,maximum-number-of-ones,HARD,"math,greedy,sorting,heap-priority-queue"
Distance Between Bus Stops,distance-between-bus-stops,EASY,array
Day of the Week,day-of-the-week,EASY,math
Maximum Subarray Sum with One Deletion,maximum-subarray-sum-with-one-deletion,MEDIUM,"array,dynamic-programming"
Make Array Strictly Increasing,make-array-strictly-increasing,HARD,"array,binary-search,dynamic-programming,sorting"
Design Bounded Blocking Queue,design-bounded-blocking-queue,MEDIUM,concurrency
Maximum Number of Balloons,maximum-number-of-balloons,EASY,"hash-table,string,counting"
Reverse Substrings Between Each Pair of Parentheses,reverse-substrings-between-each-pair-of-parentheses,MEDIUM,"string,stack"
K-Concatenation Maximum Sum,k-concatenation-maximum-sum,MEDIUM,"array,dynamic-programming"
Critical Connections in a Network,critical-connections-in-a-network,HARD,"depth-first-search,graph,biconnected-component"
Monthly Transactions I,monthly-transactions-i,MEDIUM,database
Tournament Winners,tournament-winners,HARD,database
Fizz Buzz Multithreaded,fizz-buzz-multithreaded,MEDIUM,concurrency
How Many Apples Can You Put into the Basket,how-many-apples-can-you-put-into-the-basket,EASY,"array,greedy,sorting"
Minimum Knight Moves,minimum-knight-moves,MEDIUM,breadth-first-search
Find Smallest Common Element in All Rows,find-smallest-common-element-in-all-rows,MEDIUM,"array,hash-table,binary-search,matrix,counting"
Minimum Time to Build Blocks,minimum-time-to-build-blocks,HARD,"array,math,greedy,heap-priority-queue"
Minimum Absolute Difference,minimum-absolute-difference,EASY,"array,sorting"
Ugly Number III,ugly-number-iii,MEDIUM,"math,binary-search,combinatorics,number-theory"
Smallest String With Swaps,smallest-string-with-swaps,MEDIUM,"array,hash-table,string,depth-first-search,breadth-first-search,union-find,sorting"
Sort Items by Groups Respecting Dependencies,sort-items-by-groups-respecting-dependencies,HARD,"depth-first-search,breadth-first-search,graph,topological-sort"
Last Person to Fit in the Bus,last-person-to-fit-in-the-bus,MEDIUM,database
Monthly Transactions II,monthly-transactions-ii,MEDIUM,database
Design Skiplist,design-skiplist,HARD,"linked-list,design"
Unique Number of Occurrences,unique-number-of-occurrences,EASY,"array,hash-table"
Get Equal Substrings Within Budget,get-equal-substrings-within-budget,MEDIUM,"string,binary-search,sliding-window,prefix-sum"
Remove All Adjacent Duplicates in String II,remove-all-adjacent-duplicates-in-string-ii,MEDIUM,"string,stack"
Minimum Moves to Reach Target with Rotations,minimum-moves-to-reach-target-with-rotations,HARD,"array,breadth-first-search,matrix"
Queries Quality and Percentage,queries-quality-and-percentage,EASY,database
Team Scores in Football Tournament,team-scores-in-football-tournament,MEDIUM,database
Intersection of Three Sorted Arrays,intersection-of-three-sorted-arrays,EASY,"array,hash-table,binary-search,counting"
Two Sum BSTs,two-sum-bsts,MEDIUM,"two-pointers,binary-search,stack,tree,depth-first-search,binary-search-tree,binary-tree"
Stepping Numbers,stepping-numbers,MEDIUM,"math,backtracking,breadth-first-search"
Valid Palindrome III,valid-palindrome-iii,HARD,"string,dynamic-programming"
Minimum Cost to Move Chips to The Same Position,minimum-cost-to-move-chips-to-the-same-position,EASY,"array,math,greedy"
Longest Arithmetic Subsequence of Given Difference,longest-arithmetic-subsequence-of-given-difference,MEDIUM,"array,hash-table,dynamic-programming"
Path with Maximum Gold,path-with-maximum-gold,MEDIUM,"array,backtracking,matrix"
Count Vowels Permutation,count-vowels-permutation,HARD,dynamic-programming
Split a String in Balanced Strings,split-a-string-in-balanced-strings,EASY,"string,greedy,counting"
Queens That Can Attack the King,queens-that-can-attack-the-king,MEDIUM,"array,matrix,simulation"
Dice Roll Simulation,dice-roll-simulation,HARD,"array,dynamic-programming"
Maximum Equal Frequency,maximum-equal-frequency,HARD,"array,hash-table"
Report Contiguous Dates,report-contiguous-dates,HARD,database
The Dining Philosophers,the-dining-philosophers,MEDIUM,concurrency
Airplane Seat Assignment Probability,airplane-seat-assignment-probability,MEDIUM,"math,dynamic-programming,brainteaser,probability-and-statistics"
Missing Number In Arithmetic Progression,missing-number-in-arithmetic-progression,EASY,"array,math"
Meeting Scheduler,meeting-scheduler,MEDIUM,"array,two-pointers,sorting"
Toss Strange Coins,toss-strange-coins,MEDIUM,"array,math,dynamic-programming,probability-and-statistics"
Divide Chocolate,divide-chocolate,HARD,"array,binary-search"
Check If It Is a Straight Line,check-if-it-is-a-straight-line,EASY,"array,math,geometry"
Remove Sub-Folders from the Filesystem,remove-sub-folders-from-the-filesystem,MEDIUM,"array,string,depth-first-search,trie"
Replace the Substring for Balanced String,replace-the-substring-for-balanced-string,MEDIUM,"string,sliding-window"
Maximum Profit in Job Scheduling,maximum-profit-in-job-scheduling,HARD,"array,binary-search,dynamic-programming,sorting"
Web Crawler,web-crawler,MEDIUM,"string,depth-first-search,breadth-first-search,interactive"
Find Positive Integer Solution for a Given Equation,find-positive-integer-solution-for-a-given-equation,MEDIUM,"math,two-pointers,binary-search,interactive"
Circular Permutation in Binary Representation,circular-permutation-in-binary-representation,MEDIUM,"math,backtracking,bit-manipulation"
Maximum Length of a Concatenated String with Unique Characters,maximum-length-of-a-concatenated-string-with-unique-characters,MEDIUM,"array,string,backtracking,bit-manipulation"
Tiling a Rectangle with the Fewest Squares,tiling-a-rectangle-with-the-fewest-squares,HARD,backtracking
Number of Comments per Post,number-of-comments-per-post,EASY,database
Web Crawler Multithreaded,web-crawler-multithreaded,MEDIUM,"depth-first-search,breadth-first-search,concurrency"
Array Transformation,array-transformation,EASY,"array,simulation"
Design A Leaderboard,design-a-leaderboard,MEDIUM,"hash-table,design,sorting"
Tree Diameter,tree-diameter,MEDIUM,"tree,depth-first-search,breadth-first-search,graph,topological-sort"
Palindrome Removal,palindrome-removal,HARD,"array,dynamic-programming"
Minimum Swaps to Make Strings Equal,minimum-swaps-to-make-strings-equal,MEDIUM,"math,string,greedy"
Count Number of Nice Subarrays,count-number-of-nice-subarrays,MEDIUM,"array,hash-table,math,sliding-window,prefix-sum"
Minimum Remove to Make Valid Parentheses,minimum-remove-to-make-valid-parentheses,MEDIUM,"string,stack"
Check If It Is a Good Array,check-if-it-is-a-good-array,HARD,"array,math,number-theory"
Average Selling Price,average-selling-price,EASY,database
Cells with Odd Values in a Matrix,cells-with-odd-values-in-a-matrix,EASY,"array,math,simulation"
Reconstruct a 2-Row Binary Matrix,reconstruct-a-2-row-binary-matrix,MEDIUM,"array,greedy,matrix"
Number of Closed Islands,number-of-closed-islands,MEDIUM,"array,depth-first-search,breadth-first-search,union-find,matrix"
Maximum Score Words Formed by Letters,maximum-score-words-formed-by-letters,HARD,"array,hash-table,string,dynamic-programming,backtracking,bit-manipulation,counting,bitmask"
Encode Number,encode-number,MEDIUM,"math,string,bit-manipulation"
Smallest Common Region,smallest-common-region,MEDIUM,"array,hash-table,string,tree,depth-first-search,breadth-first-search"
